# AAII Investor Sentiment Survey: weekly bullish / neutral / bearish percentages by reported date (Thursday).
# Source: American Association of Individual Investors (aaii.com), sentiment.xls saved 2026-09-19. Personal use.
reported,bullish,neutral,bearish
1987-07-24,36.00,50.00,14.00
1987-07-31,26.00,48.00,26.00
1987-08-07,56.00,15.00,29.00
1987-08-14,45.00,35.00,20.00
1987-08-21,66.00,28.00,6.00
1987-08-28,52.00,18.00,30.00
1987-09-04,42.00,17.00,41.00
1987-09-11,50.00,23.00,27.00
1987-09-18,60.00,29.00,11.00
1987-09-25,53.00,17.00,30.00
1987-10-02,44.00,26.00,30.00
1987-10-09,46.00,39.00,15.00
1987-10-16,37.00,30.00,33.00
1987-10-23,39.00,30.00,31.00
1987-10-30,44.00,23.00,33.00
1987-11-06,47.00,31.00,22.00
1987-11-13,31.00,41.00,28.00
1987-11-20,39.00,42.00,19.00
1987-11-27,27.00,46.00,27.00
1987-12-04,25.00,33.00,42.00
1987-12-11,23.00,45.00,32.00
1987-12-18,33.00,40.00,27.00
1987-12-24,28.00,52.00,20.00
1987-12-31,25.00,49.00,26.00
1988-01-08,34.00,46.00,20.00
1988-01-15,34.00,40.00,26.00
1988-01-22,21.00,48.00,31.00
1988-01-29,26.00,45.00,29.00
1988-02-05,32.00,53.00,15.00
1988-02-12,32.00,46.00,22.00
1988-02-19,27.00,49.00,24.00
1988-02-26,30.00,51.00,19.00
1988-03-04,38.00,40.00,22.00
1988-03-11,43.00,40.00,17.00
1988-03-18,41.00,49.00,10.00
1988-03-25,45.00,38.00,17.00
1988-04-01,35.00,45.00,20.00
1988-04-08,33.00,48.00,19.00
1988-04-15,23.00,53.00,24.00
1988-04-22,23.00,57.00,20.00
1988-04-29,22.00,48.00,30.00
1988-05-06,38.00,42.00,20.00
1988-05-13,19.00,56.00,25.00
1988-05-20,23.00,52.00,25.00
1988-05-27,28.00,52.00,20.00
1988-06-03,26.00,62.00,12.00
1988-06-10,28.00,49.00,23.00
1988-06-17,29.00,50.00,21.00
1988-06-24,33.00,44.00,23.00
1988-07-01,45.00,38.00,17.00
1988-07-08,35.00,50.00,15.00
1988-07-15,26.00,37.00,37.00
1988-07-22,16.00,58.00,26.00
1988-07-29,23.00,54.00,23.00
1988-08-05,21.00,49.00,30.00
1988-08-12,26.00,48.00,26.00
1988-08-19,19.00,53.00,28.00
1988-08-26,28.00,40.00,32.00
1988-09-02,18.00,43.00,39.00
1988-09-09,17.00,52.00,31.00
1988-09-16,24.00,46.00,30.00
1988-09-23,20.00,53.00,27.00
1988-09-30,26.00,44.00,30.00
1988-10-07,13.00,49.00,38.00
1988-10-14,22.00,46.00,32.00
1988-10-21,26.00,51.00,23.00
1988-10-28,40.00,38.00,22.00
1988-11-04,35.00,46.00,19.00
1988-11-11,23.00,56.00,21.00
1988-11-18,30.00,34.00,36.00
1988-11-25,17.00,44.00,39.00
1988-12-02,19.00,47.00,34.00
1988-12-09,17.00,44.00,39.00
1988-12-16,24.00,54.00,22.00
1988-12-23,22.00,46.00,32.00
1988-12-30,24.00,54.00,22.00
1989-01-06,26.00,51.00,23.00
1989-01-13,36.00,44.00,20.00
1989-01-20,36.00,47.00,17.00
1989-01-27,32.00,49.00,19.00
1989-02-03,33.00,44.00,23.00
1989-02-10,43.00,31.00,26.00
1989-02-17,42.00,41.00,17.00
1989-02-24,29.00,45.00,26.00
1989-03-03,29.00,35.00,36.00
1989-03-10,13.00,52.00,35.00
1989-03-17,28.00,43.00,29.00
1989-03-23,29.00,41.00,30.00
1989-03-31,18.00,42.00,40.00
1989-04-07,23.00,45.00,32.00
1989-04-14,25.00,42.00,33.00
1989-04-21,21.00,51.00,28.00
1989-04-28,31.00,40.00,29.00
1989-05-05,30.00,40.00,30.00
1989-05-12,38.00,43.00,19.00
1989-05-19,43.00,38.00,19.00
1989-05-26,48.00,31.00,21.00
1989-06-02,42.00,27.00,31.00
1989-06-09,43.00,34.00,23.00
1989-06-16,32.00,37.00,31.00
1989-06-23,33.00,22.00,45.00
1989-06-30,40.00,34.00,26.00
1989-07-07,37.00,32.00,31.00
1989-07-14,22.00,30.00,48.00
1989-07-21,32.00,39.00,29.00
1989-07-28,41.00,25.00,34.00
1989-08-04,35.00,30.00,35.00
1989-08-11,53.00,21.00,26.00
1989-08-18,35.00,28.00,37.00
1989-08-25,45.00,24.00,31.00
1989-09-01,34.00,30.00,36.00
1989-09-08,30.00,30.00,40.00
1989-09-15,31.00,44.00,25.00
1989-09-22,24.00,37.00,39.00
1989-09-29,33.00,38.00,29.00
1989-10-06,24.00,43.00,33.00
1989-10-13,28.00,52.00,20.00
1989-10-20,39.00,28.00,33.00
1989-10-27,36.00,33.00,31.00
1989-11-03,37.00,31.00,32.00
1989-11-10,27.00,37.00,36.00
1989-11-17,24.00,28.00,48.00
1989-11-22,27.00,40.00,33.00
1989-12-01,28.00,40.00,32.00
1989-12-08,31.00,41.00,28.00
1989-12-15,42.00,30.00,28.00
1989-12-22,36.00,32.00,32.00
1989-12-29,35.00,31.00,34.00
1990-01-05,40.00,30.00,30.00
1990-01-12,45.00,38.00,17.00
1990-01-19,31.00,49.00,20.00
1990-01-26,24.00,38.00,38.00
1990-02-02,15.00,37.00,48.00
1990-02-09,19.00,30.00,51.00
1990-02-16,23.00,43.00,34.00
1990-02-23,24.00,38.00,38.00
1990-03-02,21.00,37.00,42.00
1990-03-09,22.00,42.00,36.00
1990-03-16,25.00,35.00,40.00
1990-03-23,37.00,39.00,24.00
1990-03-30,34.00,35.00,31.00
1990-04-06,38.00,37.00,25.00
1990-04-12,27.00,56.00,17.00
1990-04-20,34.00,43.00,23.00
1990-04-27,28.00,35.00,37.00
1990-05-04,20.00,35.00,45.00
1990-05-11,28.00,38.00,34.00
1990-05-18,37.00,35.00,28.00
1990-05-25,39.00,32.00,29.00
1990-06-01,37.00,28.00,35.00
1990-06-08,35.00,35.00,30.00
1990-06-15,43.00,32.00,25.00
1990-06-22,34.00,32.00,34.00
1990-06-29,31.00,31.00,38.00
1990-07-06,28.00,34.00,38.00
1990-07-13,40.00,30.00,30.00
1990-07-20,40.00,30.00,30.00
1990-07-27,52.00,24.00,24.00
1990-08-03,26.00,28.00,46.00
1990-08-10,25.00,21.00,54.00
1990-08-17,18.00,23.00,59.00
1990-08-24,25.00,24.00,51.00
1990-08-31,23.00,16.00,61.00
1990-09-07,33.00,18.00,49.00
1990-09-14,16.00,33.00,51.00
1990-09-21,13.00,31.00,56.00
1990-09-28,26.00,20.00,54.00
1990-10-05,15.00,26.00,59.00
1990-10-12,21.00,27.00,52.00
1990-10-19,13.00,20.00,67.00
1990-10-26,23.00,19.00,58.00
1990-11-02,20.00,36.00,44.00
1990-11-09,20.00,32.00,48.00
1990-11-16,12.00,33.00,55.00
1990-11-21,16.00,37.00,47.00
1990-11-30,22.00,33.00,45.00
1990-12-07,26.00,33.00,41.00
1990-12-14,31.00,31.00,38.00
1990-12-21,16.00,34.00,50.00
1990-12-28,30.00,30.00,40.00
1991-01-04,31.00,39.00,30.00
1991-01-11,22.00,30.00,48.00
1991-01-18,22.00,27.00,51.00
1991-01-25,25.00,25.00,50.00
1991-02-01,29.00,29.00,42.00
1991-02-08,36.00,28.00,36.00
1991-02-15,46.00,30.00,24.00
1991-02-22,57.00,20.00,23.00
1991-03-01,50.00,18.00,32.00
1991-03-08,50.00,21.00,29.00
1991-03-15,55.00,22.00,23.00
1991-03-22,42.00,31.00,27.00
1991-03-29,47.00,28.00,25.00
1991-04-05,58.00,22.00,20.00
1991-04-12,43.00,32.00,25.00
1991-04-19,39.00,39.00,22.00
1991-04-26,55.00,28.00,17.00
1991-05-03,39.00,33.00,28.00
1991-05-10,38.00,34.00,28.00
1991-05-17,42.00,32.00,26.00
1991-05-24,38.00,39.00,23.00
1991-05-31,42.00,35.00,23.00
1991-06-07,46.00,37.00,17.00
1991-06-14,47.00,31.00,22.00
1991-06-21,44.00,40.00,16.00
1991-06-28,28.00,37.00,35.00
1991-07-03,28.00,39.00,33.00
1991-07-12,41.00,39.00,20.00
1991-07-19,27.00,51.00,22.00
1991-07-26,35.00,42.00,23.00
1991-08-02,33.00,36.00,31.00
1991-08-09,26.00,45.00,29.00
1991-08-16,37.00,33.00,30.00
1991-08-23,32.00,36.00,32.00
1991-08-30,41.00,40.00,19.00
1991-09-06,36.00,31.00,33.00
1991-09-13,43.00,39.00,18.00
1991-09-20,32.00,48.00,20.00
1991-09-27,31.00,38.00,31.00
1991-10-04,35.00,30.00,35.00
1991-10-11,39.00,37.00,24.00
1991-10-18,30.00,31.00,39.00
1991-10-25,31.00,36.00,33.00
1991-11-01,52.00,12.00,36.00
1991-11-08,32.00,36.00,32.00
1991-11-15,38.00,33.00,29.00
1991-11-22,48.00,32.00,20.00
1991-11-27,33.00,27.00,40.00
1991-12-06,23.00,32.00,45.00
1991-12-13,33.00,36.00,31.00
1991-12-20,36.00,30.00,34.00
1991-12-27,39.00,29.00,32.00
1992-01-03,49.00,20.00,31.00
1992-01-10,48.00,27.00,25.00
1992-01-17,51.00,21.00,28.00
1992-01-24,46.00,25.00,29.00
1992-01-31,47.00,26.00,27.00
1992-02-07,36.00,39.00,25.00
1992-02-14,46.00,28.00,26.00
1992-02-21,47.00,25.00,28.00
1992-02-28,43.00,36.00,21.00
1992-03-06,45.00,29.00,26.00
1992-03-13,38.00,35.00,27.00
1992-03-20,48.00,29.00,23.00
