# NAAIM Exposure Index: weekly survey of active managers' US equity exposure (-200% to +200%), by survey date.
# Source: National Association of Active Investment Managers (naaim.org): USE_Data-since-Inception_2026-07-29.xlsx,
# the last free full-history file before subscription access began on 2026-08-01. The index is the survey mean
# (the file's Mean/Average column, which NAAIM's own table shows as the NAAIM Number). Personal use.
week,naaim,bearish,quartile1,median,quartile3,bullish,deviation
2006-07-05,19.44,-100,0,20,50,100,55.55
2006-07-12,31.2,-50,0,25,50,150,47.84
2006-07-19,18.76,-100,0,25,50,100,38.17
2006-07-26,17.38,-50,0,15,50,100,33.78
2006-08-02,44.23,-50,21.25,50,53.75,175,43.69
2006-08-09,45.02,-100,31.25,50,58.75,150,47.48
2006-08-16,38.6,-100,0,50,75,150,56.52
2006-08-23,42.1,-60,0,50,75,100,45.17
2006-08-30,42.1,-60,0,50,75,100,45.17
2006-09-06,49.38,-70,50,60,90,100,50.37
2006-09-13,45.8,-100,15,50,85,150,56.23
2006-09-20,78,20,50,82.5,100,150,31.26
2006-09-27,49.9,-125,45,50,90,123,55.81
2006-10-04,69.7,-100,50,88,100,175,59.4
2006-10-11,60.09,-125,50,82.5,100,120,59.83
2006-10-18,84.41,-20,77.5,95,100,150,33.22
2006-10-25,80.16,-100,70,90,100,200,53.12
2006-11-01,80.96,-100,68.75,90,100,200,53.86
2006-11-08,73.96,-50,53,90,100,150,46.65
2006-11-15,68.1,-150,56,89,100,150,61.3
2006-11-22,92.43,50,80,100,100,150,20.82
2006-11-29,86.67,-25,72.5,100,100,150,38.41
2006-12-06,74.73,-150,75.75,100,100,125,58.03
2006-12-13,93,50,85,100,100,125,19.42
2006-12-20,92.91,50,83.5,100,100,150,22.35
2006-12-27,85.17,-30,79,100,100,150,35.21
2007-01-03,100.05,50,85,100,108,200,32.24
2007-01-10,58.88,-150,50,81.5,100,125,65.21
2007-01-17,84.89,0,68,100,100,112,27.9
2007-01-24,72.59,-50,52.5,85,100,125,42.72
2007-01-31,80.75,-50,62.5,87.5,100,200,49.38
2007-02-07,82,-50,62.5,90,100,200,45.93
2007-02-14,79.09,-100,67.5,92.5,100,200,55.65
2007-02-21,73.68,-150,61.5,90,100,118,52.76
2007-02-28,89.33,-100,85,100,100,200,53.73
2007-03-07,52.4,-75,30,50,90,150,48.6
2007-03-14,38.05,-150,24,45,90,100,68.64
2007-03-21,47.7,-100,21.5,40,85,200,54.91
2007-03-28,44.54,-120,16,47.5,82.5,200,61.63
2007-04-04,45.65,-125,21,57.5,87.5,200,64.54
2007-04-11,59.32,-125,50,66,90,200,57.83
2007-04-18,54.14,-200,38,80,100,112,69.28
2007-04-25,75.42,-125,80,90,100,200,59
2007-05-02,82.67,-125,63.75,92,100,200,59.06
2007-05-09,73.83,-125,67.5,97.5,100,117,55.06
2007-05-16,87.38,-125,87.75,100,100,200,51.82
2007-05-23,82.5,-125,80.25,90,100,200,53.98
2007-05-30,80.55,-50,65,90,100,200,48.79
2007-06-06,57.63,-125,27,80,97.5,200,62.81
2007-06-13,53.04,-125,0,75,100,150,65.54
2007-06-20,61.47,-125,40,85,100,200,67.95
2007-06-27,74.23,-50,45,77,100,200,55.83
2007-07-05,56.06,-125,38.75,77.5,91.25,200,60.18
2007-07-11,62.39,-100,50,75,90,200,51.35
2007-07-18,74.13,0,50,80,94.5,200,45.89
2007-07-25,40.58,-125,0,50,85,200,63.77
2007-08-01,39,-125,0,36,52.5,200,59.66
2007-08-08,43.82,-50,0,31,70,200,65.1
2007-08-15,21.25,-100,0,5,33.75,200,57.03
2007-08-22,38.19,-15,0,22.5,50,200,52.7
2007-08-29,-2.11,-200,-3.75,5,41.25,100,72.57
2007-09-05,39.62,-50,7.5,40,77.5,100,45.02
2007-09-12,46.55,-125,0,40,85,200,69.6
2007-09-19,63.5,0,50,57.5,87.5,200,42.41
2007-09-26,77.36,0,60,75,93.75,200,38.19
2007-10-03,75.49,-125,65,90,100,200,61.37
2007-10-10,66.43,-125,52.5,90,100,130,56.23
2007-10-17,86.46,-50,75,92.5,100,200,49.21
2007-10-24,69.14,-200,50,90,100,200,65.85
2007-10-31,65.69,-200,38.75,90,100,200,75.07
2007-11-07,84.44,-20,50,80,100,200,52.53
2007-11-14,68.35,0,44,65,98.25,200,40.68
2007-11-21,51.04,-70,18.75,46,66.25,200,60.49
2007-11-28,51.07,-200,25,57.5,92.5,200,68.93
2007-12-05,69.43,-90,40,72.5,90,200,60.54
2007-12-12,73.57,-200,50,87.5,100,200,69.02
2007-12-19,56.27,-200,22.5,52.5,97.5,200,71.47
2007-12-26,74.79,-50,47.5,80,100,200,50.5
2008-01-02,83.55,0,50,70,100,200,55.23
2008-01-09,41.45,-200,0,50,85,200,75.14
2008-01-16,12.92,-200,0,20,50,100,58.39
2008-01-23,39.91,-200,0,33.5,75,200,74.04
2008-01-30,25.63,-160,0,10,55,200,62.16
2008-02-06,30.89,-200,0,22.5,56.25,200,70.45
2008-02-13,15.33,-200,0,20,57.5,200,74.68
2008-02-20,33.67,-80,0,22.5,65,200,57.33
2008-02-27,13.96,-200,7.5,20,67.5,115,82.93
2008-03-05,38.34,-100,0,35,52.5,200,56.33
2008-03-12,45.28,-30,0,20,50,200,63.15
